date,close,probability,label,trained_on
2009-05-06,919.5300,0.16997652,0,1
2009-05-07,907.3900,0.16447002,0,1
2009-05-08,929.2300,0.14238925,1,1
2009-05-11,909.2400,0.16335793,0,1
2009-05-12,908.3500,0.17368527,1,1
2009-05-13,883.9200,0.20088987,0,1
2009-05-14,893.0700,0.18862760,0,1
2009-05-15,882.8800,0.20843469,0,1
2009-05-18,909.7100,0.16378827,0,1
2009-05-19,908.1300,0.13068241,0,1
2009-05-20,903.4700,0.13254020,0,1
2009-05-21,888.3300,0.12686146,0,1
2009-05-22,887.0000,0.12985490,0,1
2009-05-26,910.3300,0.10754748,0,1
2009-05-27,893.0600,0.10330817,0,1
2009-05-28,906.8300,0.10021172,0,1
2009-05-29,919.1400,0.08722900,0,1
2009-06-01,942.8700,0.06252671,0,1
2009-06-02,944.7400,0.05599745,0,1
2009-06-03,931.7600,0.04306171,0,1
2009-06-04,942.4600,0.04559279,0,1
2009-06-05,940.0900,0.03669805,0,1
2009-06-08,939.1400,0.03931582,0,1
2009-06-09,942.4300,0.03726318,0,1
2009-06-10,939.1500,0.03668604,0,1
2009-06-11,944.8900,0.04660537,0,1
2009-06-12,946.2100,0.04954901,1,1
2009-06-15,923.7200,0.06222564,0,1
2009-06-16,911.9700,0.06029853,0,1
2009-06-17,910.7100,0.04997564,0,1
2009-06-18,918.3700,0.04399487,0,1
2009-06-19,921.2300,0.03827327,1,1
2009-06-22,893.0400,0.05291594,0,1
2009-06-23,895.1000,0.05435028,0,1
2009-06-24,900.9400,0.04711565,0,1
2009-06-25,920.2600,0.03724823,0,1
2009-06-26,918.9000,0.03303627,0,1
2009-06-29,927.2300,0.04666895,0,1
2009-06-30,919.3200,0.05615534,0,1
2009-07-01,923.3300,0.04661258,1,1
2009-07-02,896.4200,0.04908219,0,1
2009-07-06,898.7200,0.06229247,0,1
2009-07-07,881.0300,0.08750704,0,1
2009-07-08,879.5600,0.09397147,0,1
2009-07-09,882.6800,0.07490917,0,1
2009-07-10,879.1300,0.06614661,0,1
2009-07-13,901.0500,0.05305002,0,1
2009-07-14,905.8400,0.04049733,0,1
2009-07-15,932.6800,0.04376000,0,1
2009-07-16,940.7400,0.04817342,0,1
2009-07-17,940.3800,0.03332036,0,1
2009-07-20,951.1300,0.04509619,0,1
2009-07-21,954.5800,0.04414552,0,1
2009-07-22,954.0700,0.03875705,0,1
2009-07-23,976.2900,0.03789887,0,1
2009-07-24,979.2600,0.04497708,0,1
2009-07-27,982.1800,0.04950734,0,1
2009-07-28,979.6200,0.04483756,0,1
2009-07-29,975.1500,0.04580007,0,1
2009-07-30,986.7500,0.04577142,0,1
2009-07-31,987.4800,0.05329003,0,1
2009-08-03,1002.6300,0.05083924,0,1
2009-08-04,1005.6500,0.04924346,0,1
2009-08-05,1002.7200,0.04588534,0,1
2009-08-06,997.0800,0.04605629,0,1
2009-08-07,1010.4800,0.03656710,0,1
2009-08-10,1007.1000,0.03902710,0,1
2009-08-11,994.3500,0.04015507,0,1
2009-08-12,1005.8100,0.03954017,0,1
2009-08-13,1012.7300,0.03769520,0,1
2009-08-14,1004.0900,0.03810118,1,1
2009-08-17,979.7300,0.05647646,0,1
2009-08-18,989.6700,0.04599367,0,1
2009-08-19,996.4600,0.05790796,0,1
2009-08-20,1007.3700,0.04449783,0,1
2009-08-21,1026.1300,0.04060445,0,1
2009-08-24,1025.5699,0.03940279,0,1
2009-08-25,1028.0000,0.04379473,0,1
2009-08-26,1028.1200,0.04214815,0,1
2009-08-27,1030.9800,0.03848119,0,1
2009-08-28,1028.9301,0.04156402,0,1
2009-08-31,1020.6200,0.05032694,1,1
2009-09-01,998.0400,0.07255454,0,1
2009-09-02,994.7500,0.07041716,0,1
2009-09-03,1003.2400,0.06590902,0,1
2009-09-04,1016.4000,0.04800270,0,1
2009-09-08,1025.3900,0.05394824,0,1
2009-09-09,1033.3700,0.04474902,0,1
2009-09-10,1044.1400,0.04130972,0,1
2009-09-11,1042.7300,0.05093272,0,1
2009-09-14,1049.3400,0.04648087,0,1
2009-09-15,1052.6300,0.03945351,0,1
2009-09-16,1068.7600,0.04600158,0,1
2009-09-17,1065.4900,0.04029470,0,1
2009-09-18,1068.3000,0.03648107,0,1
2009-09-21,1064.6600,0.04151500,0,1
2009-09-22,1071.6600,0.03606631,0,1
2009-09-23,1060.8700,0.03597294,0,1
2009-09-24,1050.7800,0.04425910,0,1
2009-09-25,1044.3800,0.05627747,0,1
2009-09-28,1062.9800,0.05582587,0,1
2009-09-29,1060.6100,0.05529542,0,1
2009-09-30,1057.0800,0.05707676,1,1
2009-10-01,1029.8500,0.07726066,0,1
